Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
Australia,Mining,Other non-metallic mineral mining and quarrying,Recycling,Recycling,0,2021-12-31,C&I (mining),8
Australia,Mining,Other non-metallic mineral mining and quarrying,Unknown,Unknown,2505,2021-12-31,C&I (mining),8
Australia,Mining,Other non-metallic mineral mining and quarrying,Landfill,Disposal,2,2021-12-31,Total,9
Australia,Mining,Other non-metallic mineral mining and quarrying,Other disposal,Disposal,4726658,2021-12-31,Total,9
Australia,Mining,Other non-metallic mineral mining and quarrying,Recycling,Recycling,0,2021-12-31,Total,9
Australia,Mining,Other non-metallic mineral mining and quarrying,Unknown,Unknown,2505,2021-12-31,Total,9
Australia,Mining,Silver-lead-zinc ore mining,Landfill,Disposal,10,2021-12-31,C&I (mining),8
Australia,Mining,Silver-lead-zinc ore mining,Other disposal,Disposal,78022430,2021-12-31,C&I (mining),8
Australia,Mining,Silver-lead-zinc ore mining,Recycling,Recycling,640,2021-12-31,C&I (mining),8
Australia,Mining,Silver-lead-zinc ore mining,Unknown,Unknown,4,2021-12-31,C&I (mining),8
Australia,Mining,Silver-lead-zinc ore mining,Landfill,Disposal,10,2021-12-31,Total,9
Australia,Mining,Silver-lead-zinc ore mining,Other disposal,Disposal,78022430,2021-12-31,Total,9
Australia,Mining,Silver-lead-zinc ore mining,Recycling,Recycling,640,2021-12-31,Total,9
Australia,Mining,Silver-lead-zinc ore mining,Unknown,Unknown,4,2021-12-31,Total,9
Australia,Organic primary production,Primary production animal waste,Recycling,Recycling,1568280,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production animal waste,Unknown,Unknown,205168,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production animal waste,Waste reuse,Waste reuse,3741531,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production animal waste,Recycling,Recycling,1568280,2021-12-31,Total,9
Australia,Organic primary production,Primary production animal waste,Unknown,Unknown,205168,2021-12-31,Total,9
Australia,Organic primary production,Primary production animal waste,Waste reuse,Waste reuse,3741531,2021-12-31,Total,9
Australia,Organic primary production,Primary production green waste,Recycling,Recycling,274744,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production green waste,Unknown,Unknown,93534,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production green waste,Waste reuse,Waste reuse,699129,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production green waste,Recycling,Recycling,274744,2021-12-31,Total,9
Australia,Organic primary production,Primary production green waste,Unknown,Unknown,93534,2021-12-31,Total,9
Australia,Organic primary production,Primary production green waste,Waste reuse,Waste reuse,699129,2021-12-31,Total,9
Australia,Organic primary production,Primary production other organics,Recycling,Recycling,580,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production other organics,Unknown,Unknown,2217,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production other organics,Waste reuse,Waste reuse,243660,2021-12-31,C&I (organic primary production),5
Australia,Organic primary production,Primary production other organics,Recycling,Recycling,580,2021-12-31,Total,9
Australia,Organic primary production,Primary production other organics,Unknown,Unknown,2217,2021-12-31,Total,9
Australia,Organic primary production,Primary production other organics,Waste reuse,Waste reuse,243660,2021-12-31,Total,9
