Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Recycling,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,48,2013-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,94,2013-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Recycling,Recycling,2,2013-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,80,2013-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Recycling,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,48,2013-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,94,2013-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Recycling,Recycling,2,2013-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,80,2013-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2013-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Recycling,0,2013-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,186,2013-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Recycling,Recycling,1,2013-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,3,2013-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2013-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Recycling,10,2013-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,72,2013-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2013-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Recycling,Recycling,0,2013-12-31,C&I core,3
