Jurisdiction,Category,Type,Total type,Management,Fate,y,ds,Sub-stream
Australia,Mining,,Mining waste total,Unknown,Unknown,9147,2021-12-31,08 C&I (mining)
Australia,Mining,,Mining waste total,Landfill,Disposal,2861,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Other disposal,Disposal,619660477,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Recycling,Recycling,3936,2021-12-31,09 Total
Australia,Mining,,Mining waste total,Unknown,Unknown,9147,2021-12-31,09 Total
Australia,Organic primary production,,Organic primary production waste total,Recycling,Recycling,1932829,2021-12-31,05 C&I (organic primary production)
Australia,Organic primary production,,Organic primary production waste total,Unknown,Unknown,386714,2021-12-31,05 C&I (organic primary production)
Australia,Organic primary production,,Organic primary production waste total,Waste reuse,Waste reuse,7219891,2021-12-31,05 C&I (organic primary production)
Australia,Organic primary production,,Organic primary production waste total,Recycling,Recycling,1932829,2021-12-31,09 Total
Australia,Organic primary production,,Organic primary production waste total,Unknown,Unknown,386714,2021-12-31,09 Total
Australia,Organic primary production,,Organic primary production waste total,Waste reuse,Waste reuse,7219891,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Anaerobic digestion,Recycling,16128,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Energy from waste facility,Energy recovery,28239,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Landfill,Disposal,75486,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Other disposal,Disposal,379462,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Recycling,Recycling,3765466,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Unknown,Unknown,12989932,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Waste reuse,Waste reuse,6219297,2021-12-31,06 C&I (organic processing)
Australia,Organic processing,,Organic processing waste total,Anaerobic digestion,Recycling,16128,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Energy from waste facility,Energy recovery,28239,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Landfill,Disposal,75486,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Other disposal,Disposal,379462,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Recycling,Recycling,3765466,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Unknown,Unknown,12989932,2021-12-31,09 Total
Australia,Organic processing,,Organic processing waste total,Waste reuse,Waste reuse,6219297,2021-12-31,09 Total
NSW,Ash,,Ash waste total,Other disposal,Long-term storage,1270634,2021-12-31,04 C&I (electricity generation)
NSW,Ash,,Ash waste total,Recycling,Recycling,1918785,2021-12-31,04 C&I (electricity generation)
NSW,Ash,,Ash waste total,Waste reuse,Waste reuse,2450000,2021-12-31,04 C&I (electricity generation)
NSW,Ash,,Ash waste total,Other disposal,Long-term storage,1270634,2021-12-31,09 Total
NSW,Ash,,Ash waste total,Recycling,Recycling,1918785,2021-12-31,09 Total
NSW,Ash,,Ash waste total,Waste reuse,Waste reuse,2450000,2021-12-31,09 Total
NSW,Biosolids,,Biosolids total,Other disposal,Disposal,0,2021-12-31,03 C&I core
NSW,Biosolids,,Biosolids total,Recycling,Recycling,352084,2021-12-31,03 C&I core
NSW,Biosolids,,Biosolids total,Other disposal,Disposal,0,2021-12-31,09 Total
NSW,Biosolids,,Biosolids total,Recycling,Recycling,352084,2021-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Landfill,Disposal,889951,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Recycling,Recycling,0,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Treatment,Disposal,0,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Treatment,Recycling,0,2021-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,48222,2021-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Landfill,Disposal,653202,2021-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,6463,2021-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Recycling,Recycling,283461,2021-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Treatment,Disposal,59298,2021-12-31,03 C&I core
