Jurisdiction,Category,Type,Total type,Management,Fate,y,ds,Sub-stream
Vic,Hazardous wastes,,Hazwaste total,Treatment,Disposal,67584,2019-12-31,03 C&I core
Vic,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,11691,2019-12-31,03 C&I core
Vic,Hazardous wastes,,Hazwaste total,Treatment,Recycling,112651,2019-12-31,03 C&I core
Vic,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,48528,2019-12-31,09 Total
Vic,Hazardous wastes,,Hazwaste total,Landfill,Disposal,755499,2019-12-31,09 Total
Vic,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,7556,2019-12-31,09 Total
Vic,Hazardous wastes,,Hazwaste total,Recycling,Recycling,361362,2019-12-31,09 Total
Vic,Hazardous wastes,,Hazwaste total,Treatment,Disposal,80542,2019-12-31,09 Total
Vic,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,11691,2019-12-31,09 Total
Vic,Hazardous wastes,,Hazwaste total,Treatment,Recycling,164481,2019-12-31,09 Total
Vic,Mining,,Mining waste total,Landfill,Disposal,0,2019-12-31,08 C&I (mining)
Vic,Mining,,Mining waste total,Other disposal,Disposal,2714142,2019-12-31,08 C&I (mining)
Vic,Mining,,Mining waste total,Recycling,Recycling,2489,2019-12-31,08 C&I (mining)
Vic,Mining,,Mining waste total,Unknown,Unknown,0,2019-12-31,08 C&I (mining)
Vic,Mining,,Mining waste total,Landfill,Disposal,0,2019-12-31,09 Total
Vic,Mining,,Mining waste total,Other disposal,Disposal,2714142,2019-12-31,09 Total
Vic,Mining,,Mining waste total,Recycling,Recycling,2489,2019-12-31,09 Total
Vic,Mining,,Mining waste total,Unknown,Unknown,0,2019-12-31,09 Total
Vic,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2019-12-31,02 C&D
Vic,Total,,All other waste total,Landfill,Disposal,998319,2019-12-31,02 C&D
Vic,Total,,All other waste total,Landfill,Energy recovery,12305,2019-12-31,02 C&D
Vic,Total,,All other waste total,Recycling,Recycling,6538458,2019-12-31,02 C&D
Vic,Total,,All other waste total,Energy from waste facility,Energy recovery,61379,2019-12-31,03 C&I core
Vic,Total,,All other waste total,Landfill,Disposal,1675145,2019-12-31,03 C&I core
Vic,Total,,All other waste total,Landfill,Energy recovery,209229,2019-12-31,03 C&I core
Vic,Total,,All other waste total,Recycling,Recycling,2887233,2019-12-31,03 C&I core
Vic,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2019-12-31,01 MSW
Vic,Total,,All other waste total,Landfill,Disposal,1377290,2019-12-31,01 MSW
Vic,Total,,All other waste total,Landfill,Energy recovery,312681,2019-12-31,01 MSW
Vic,Total,,All other waste total,Recycling,Recycling,1282049,2019-12-31,01 MSW
Vic,Total,,All other waste total,Energy from waste facility,Energy recovery,61379,2019-12-31,09 Total
Vic,Total,,All other waste total,Landfill,Disposal,4050754,2019-12-31,09 Total
Vic,Total,,All other waste total,Landfill,Energy recovery,534215,2019-12-31,09 Total
Vic,Total,,All other waste total,Recycling,Recycling,10707741,2019-12-31,09 Total
WA,Ash,,Ash waste total,Other disposal,Long-term storage,291250,2019-12-31,04 C&I (electricity generation)
WA,Ash,,Ash waste total,Recycling,Recycling,820895,2019-12-31,04 C&I (electricity generation)
WA,Ash,,Ash waste total,Other disposal,Long-term storage,291250,2019-12-31,09 Total
WA,Ash,,Ash waste total,Recycling,Recycling,820895,2019-12-31,09 Total
WA,Biosolids,,Biosolids total,Other disposal,Disposal,40845,2019-12-31,03 C&I core
WA,Biosolids,,Biosolids total,Recycling,Recycling,115431,2019-12-31,03 C&I core
WA,Biosolids,,Biosolids total,Other disposal,Disposal,40845,2019-12-31,09 Total
WA,Biosolids,,Biosolids total,Recycling,Recycling,115431,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,22048,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,991,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,225,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,885,2019-12-31,02 C&D
WA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,20803,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,205933,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,3451,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,364297,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,70034,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,11375,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,60282,2019-12-31,03 C&I core
WA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,20803,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,227981,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,3451,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,365288,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,70259,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,11375,2019-12-31,09 Total
WA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,61167,2019-12-31,09 Total
WA,Mining,,Mining waste total,Landfill,Disposal,1003,2019-12-31,08 C&I (mining)
WA,Mining,,Mining waste total,Other disposal,Disposal,259200155,2019-12-31,08 C&I (mining)
WA,Mining,,Mining waste total,Recycling,Recycling,0,2019-12-31,08 C&I (mining)
WA,Mining,,Mining waste total,Unknown,Unknown,11847,2019-12-31,08 C&I (mining)
WA,Mining,,Mining waste total,Landfill,Disposal,1003,2019-12-31,09 Total
WA,Mining,,Mining waste total,Other disposal,Disposal,259200155,2019-12-31,09 Total
WA,Mining,,Mining waste total,Recycling,Recycling,0,2019-12-31,09 Total
WA,Mining,,Mining waste total,Unknown,Unknown,11847,2019-12-31,09 Total
WA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2019-12-31,02 C&D
WA,Total,,All other waste total,Landfill,Disposal,337959,2019-12-31,02 C&D
WA,Total,,All other waste total,Landfill,Energy recovery,1736,2019-12-31,02 C&D
WA,Total,,All other waste total,Recycling,Recycling,1536558,2019-12-31,02 C&D
WA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2019-12-31,03 C&I core
WA,Total,,All other waste total,Landfill,Disposal,688357,2019-12-31,03 C&I core
WA,Total,,All other waste total,Landfill,Energy recovery,42465,2019-12-31,03 C&I core
WA,Total,,All other waste total,Recycling,Recycling,724257,2019-12-31,03 C&I core
WA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2019-12-31,01 MSW
WA,Total,,All other waste total,Landfill,Disposal,909302,2019-12-31,01 MSW
WA,Total,,All other waste total,Landfill,Energy recovery,82743,2019-12-31,01 MSW
WA,Total,,All other waste total,Recycling,Recycling,459252,2019-12-31,01 MSW
WA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2019-12-31,09 Total
WA,Total,,All other waste total,Landfill,Disposal,1935617,2019-12-31,09 Total
WA,Total,,All other waste total,Landfill,Energy recovery,126945,2019-12-31,09 Total
WA,Total,,All other waste total,Recycling,Recycling,2720067,2019-12-31,09 Total
ACT,Biosolids,,Biosolids total,Other disposal,Disposal,58202,2018-12-31,03 C&I core
ACT,Biosolids,,Biosolids total,Recycling,Recycling,0,2018-12-31,03 C&I core
ACT,Biosolids,,Biosolids total,Other disposal,Disposal,58202,2018-12-31,09 Total
ACT,Biosolids,,Biosolids total,Recycling,Recycling,0,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,51395,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,1,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,17,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,47,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,25,2018-12-31,02 C&D
ACT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,3717,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,45640,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,228,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,6558,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,503,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,101,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,772,2018-12-31,03 C&I core
ACT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,3717,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,97035,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,230,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,6575,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,550,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,101,2018-12-31,09 Total
ACT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,797,2018-12-31,09 Total
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
ACT,Total,,All other waste total,Landfill,Disposal,12955,2018-12-31,02 C&D
ACT,Total,,All other waste total,Landfill,Energy recovery,565,2018-12-31,02 C&D
ACT,Total,,All other waste total,Recycling,Recycling,101302,2018-12-31,02 C&D
ACT,Total,,All other waste total,Waste reuse,Waste reuse,61038,2018-12-31,02 C&D
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,03 C&I core
ACT,Total,,All other waste total,Landfill,Disposal,84795,2018-12-31,03 C&I core
ACT,Total,,All other waste total,Landfill,Energy recovery,17831,2018-12-31,03 C&I core
ACT,Total,,All other waste total,Recycling,Recycling,355469,2018-12-31,03 C&I core
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,01 MSW
ACT,Total,,All other waste total,Landfill,Disposal,76866,2018-12-31,01 MSW
ACT,Total,,All other waste total,Landfill,Energy recovery,26626,2018-12-31,01 MSW
ACT,Total,,All other waste total,Recycling,Recycling,145539,2018-12-31,01 MSW
ACT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,09 Total
ACT,Total,,All other waste total,Landfill,Disposal,174616,2018-12-31,09 Total
ACT,Total,,All other waste total,Landfill,Energy recovery,45023,2018-12-31,09 Total
ACT,Total,,All other waste total,Recycling,Recycling,602310,2018-12-31,09 Total
ACT,Total,,All other waste total,Waste reuse,Waste reuse,61038,2018-12-31,09 Total
NSW,Ash,,Ash waste total,Other disposal,Long-term storage,1172452,2018-12-31,04 C&I (electricity generation)
NSW,Ash,,Ash waste total,Recycling,Recycling,4599587,2018-12-31,04 C&I (electricity generation)
NSW,Ash,,Ash waste total,Other disposal,Long-term storage,1172452,2018-12-31,09 Total
NSW,Ash,,Ash waste total,Recycling,Recycling,4599587,2018-12-31,09 Total
NSW,Biosolids,,Biosolids total,Other disposal,Disposal,18070,2018-12-31,03 C&I core
NSW,Biosolids,,Biosolids total,Recycling,Recycling,333072,2018-12-31,03 C&I core
NSW,Biosolids,,Biosolids total,Other disposal,Disposal,18070,2018-12-31,09 Total
NSW,Biosolids,,Biosolids total,Recycling,Recycling,333072,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Landfill,Disposal,1091139,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Recycling,Recycling,0,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Treatment,Disposal,7267,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Treatment,Recycling,29066,2018-12-31,02 C&D
NSW,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,48360,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Landfill,Disposal,824452,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,6145,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Recycling,Recycling,179789,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Treatment,Disposal,165093,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,22716,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Treatment,Recycling,222755,2018-12-31,03 C&I core
NSW,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,48360,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Landfill,Disposal,1915591,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,6145,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Recycling,Recycling,179789,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Treatment,Disposal,172359,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,22716,2018-12-31,09 Total
NSW,Hazardous wastes,,Hazwaste total,Treatment,Recycling,251821,2018-12-31,09 Total
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
NSW,Total,,All other waste total,Landfill,Disposal,713946,2018-12-31,02 C&D
NSW,Total,,All other waste total,Landfill,Energy recovery,7843,2018-12-31,02 C&D
NSW,Total,,All other waste total,Recycling,Recycling,8392096,2018-12-31,02 C&D
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,43968,2018-12-31,03 C&I core
NSW,Total,,All other waste total,Landfill,Disposal,1522815,2018-12-31,03 C&I core
NSW,Total,,All other waste total,Landfill,Energy recovery,151839,2018-12-31,03 C&I core
NSW,Total,,All other waste total,Recycling,Recycling,1864492,2018-12-31,03 C&I core
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,01 MSW
NSW,Total,,All other waste total,Landfill,Disposal,1870911,2018-12-31,01 MSW
NSW,Total,,All other waste total,Landfill,Energy recovery,368630,2018-12-31,01 MSW
NSW,Total,,All other waste total,Recycling,Recycling,1795036,2018-12-31,01 MSW
NSW,Total,,All other waste total,Energy from waste facility,Energy recovery,43968,2018-12-31,09 Total
NSW,Total,,All other waste total,Landfill,Disposal,4107672,2018-12-31,09 Total
NSW,Total,,All other waste total,Landfill,Energy recovery,528311,2018-12-31,09 Total
NSW,Total,,All other waste total,Recycling,Recycling,12051624,2018-12-31,09 Total
NT,Biosolids,,Biosolids total,Other disposal,Disposal,4729,2018-12-31,03 C&I core
NT,Biosolids,,Biosolids total,Recycling,Recycling,16654,2018-12-31,03 C&I core
NT,Biosolids,,Biosolids total,Other disposal,Disposal,4729,2018-12-31,09 Total
NT,Biosolids,,Biosolids total,Recycling,Recycling,16654,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,8674,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,51,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,72,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,279,2018-12-31,02 C&D
NT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,959,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,6868,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,140,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,8495,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,468,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,354,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,1876,2018-12-31,03 C&I core
NT,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,959,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Landfill,Disposal,15542,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,140,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Recycling,Recycling,8546,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Treatment,Disposal,540,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,354,2018-12-31,09 Total
NT,Hazardous wastes,,Hazwaste total,Treatment,Recycling,2154,2018-12-31,09 Total
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
NT,Total,,All other waste total,Landfill,Disposal,136777,2018-12-31,02 C&D
NT,Total,,All other waste total,Landfill,Energy recovery,668,2018-12-31,02 C&D
NT,Total,,All other waste total,Recycling,Recycling,0,2018-12-31,02 C&D
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,03 C&I core
NT,Total,,All other waste total,Landfill,Disposal,42346,2018-12-31,03 C&I core
NT,Total,,All other waste total,Landfill,Energy recovery,2404,2018-12-31,03 C&I core
NT,Total,,All other waste total,Recycling,Recycling,0,2018-12-31,03 C&I core
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,01 MSW
NT,Total,,All other waste total,Landfill,Disposal,127048,2018-12-31,01 MSW
NT,Total,,All other waste total,Landfill,Energy recovery,10396,2018-12-31,01 MSW
NT,Total,,All other waste total,Recycling,Recycling,28986,2018-12-31,01 MSW
NT,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,09 Total
NT,Total,,All other waste total,Landfill,Disposal,306170,2018-12-31,09 Total
NT,Total,,All other waste total,Landfill,Energy recovery,13468,2018-12-31,09 Total
NT,Total,,All other waste total,Recycling,Recycling,28986,2018-12-31,09 Total
Qld,Ash,,Ash waste total,Other disposal,Long-term storage,3764101,2018-12-31,04 C&I (electricity generation)
Qld,Ash,,Ash waste total,Recycling,Recycling,833520,2018-12-31,04 C&I (electricity generation)
Qld,Ash,,Ash waste total,Other disposal,Long-term storage,3764101,2018-12-31,09 Total
Qld,Ash,,Ash waste total,Recycling,Recycling,833520,2018-12-31,09 Total
Qld,Biosolids,,Biosolids total,Other disposal,Disposal,0,2018-12-31,03 C&I core
Qld,Biosolids,,Biosolids total,Recycling,Recycling,327164,2018-12-31,03 C&I core
Qld,Biosolids,,Biosolids total,Other disposal,Disposal,0,2018-12-31,09 Total
Qld,Biosolids,,Biosolids total,Recycling,Recycling,327164,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Landfill,Disposal,792549,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,22,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Recycling,Recycling,207,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Treatment,Disposal,155,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Treatment,Recycling,9,2018-12-31,02 C&D
Qld,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,24646,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Landfill,Disposal,522178,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,10712,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Recycling,Recycling,586026,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Treatment,Disposal,42022,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,11195,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Treatment,Recycling,68728,2018-12-31,03 C&I core
Qld,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,24646,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Landfill,Disposal,1314727,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,10735,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Recycling,Recycling,586233,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Treatment,Disposal,42177,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,11195,2018-12-31,09 Total
Qld,Hazardous wastes,,Hazwaste total,Treatment,Recycling,68736,2018-12-31,09 Total
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
Qld,Total,,All other waste total,Landfill,Disposal,1974015,2018-12-31,02 C&D
Qld,Total,,All other waste total,Landfill,Energy recovery,15629,2018-12-31,02 C&D
Qld,Total,,All other waste total,Recycling,Recycling,2324963,2018-12-31,02 C&D
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,8415,2018-12-31,03 C&I core
Qld,Total,,All other waste total,Landfill,Disposal,1391477,2018-12-31,03 C&I core
Qld,Total,,All other waste total,Landfill,Energy recovery,127999,2018-12-31,03 C&I core
Qld,Total,,All other waste total,Recycling,Recycling,1371955,2018-12-31,03 C&I core
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,32121,2018-12-31,01 MSW
Qld,Total,,All other waste total,Landfill,Disposal,1562014,2018-12-31,01 MSW
Qld,Total,,All other waste total,Landfill,Energy recovery,209622,2018-12-31,01 MSW
Qld,Total,,All other waste total,Recycling,Recycling,940302,2018-12-31,01 MSW
Qld,Total,,All other waste total,Energy from waste facility,Energy recovery,40536,2018-12-31,09 Total
Qld,Total,,All other waste total,Landfill,Disposal,4927506,2018-12-31,09 Total
Qld,Total,,All other waste total,Landfill,Energy recovery,353250,2018-12-31,09 Total
Qld,Total,,All other waste total,Recycling,Recycling,4637221,2018-12-31,09 Total
SA,Ash,,Ash waste total,Other disposal,Long-term storage,0,2018-12-31,04 C&I (electricity generation)
SA,Ash,,Ash waste total,Recycling,Recycling,0,2018-12-31,04 C&I (electricity generation)
SA,Ash,,Ash waste total,Other disposal,Long-term storage,0,2018-12-31,09 Total
SA,Ash,,Ash waste total,Recycling,Recycling,0,2018-12-31,09 Total
SA,Biosolids,,Biosolids total,Other disposal,Disposal,1148,2018-12-31,03 C&I core
SA,Biosolids,,Biosolids total,Recycling,Recycling,175971,2018-12-31,03 C&I core
SA,Biosolids,,Biosolids total,Other disposal,Disposal,1148,2018-12-31,09 Total
SA,Biosolids,,Biosolids total,Recycling,Recycling,175971,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,39821,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,0,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,157052,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,14932,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,0,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,57847,2018-12-31,02 C&D
SA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,12650,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,63381,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,4405,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,144004,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,30873,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,6265,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,51301,2018-12-31,03 C&I core
SA,Hazardous wastes,,Hazwaste total,Energy from waste facility,Energy recovery,12650,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Landfill,Disposal,103202,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Other disposal,Disposal,4405,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Recycling,Recycling,301056,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Treatment,Disposal,45805,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Treatment,Energy recovery,6265,2018-12-31,09 Total
SA,Hazardous wastes,,Hazwaste total,Treatment,Recycling,109148,2018-12-31,09 Total
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,02 C&D
SA,Total,,All other waste total,Landfill,Disposal,139491,2018-12-31,02 C&D
SA,Total,,All other waste total,Landfill,Energy recovery,3672,2018-12-31,02 C&D
SA,Total,,All other waste total,Recycling,Recycling,1432136,2018-12-31,02 C&D
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,83700,2018-12-31,03 C&I core
SA,Total,,All other waste total,Landfill,Disposal,129102,2018-12-31,03 C&I core
SA,Total,,All other waste total,Landfill,Energy recovery,26517,2018-12-31,03 C&I core
SA,Total,,All other waste total,Recycling,Recycling,1189519,2018-12-31,03 C&I core
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,0,2018-12-31,01 MSW
SA,Total,,All other waste total,Landfill,Disposal,307253,2018-12-31,01 MSW
SA,Total,,All other waste total,Landfill,Energy recovery,73447,2018-12-31,01 MSW
SA,Total,,All other waste total,Recycling,Recycling,415677,2018-12-31,01 MSW
SA,Total,,All other waste total,Energy from waste facility,Energy recovery,83700,2018-12-31,09 Total
SA,Total,,All other waste total,Landfill,Disposal,575846,2018-12-31,09 Total
SA,Total,,All other waste total,Landfill,Energy recovery,103636,2018-12-31,09 Total
SA,Total,,All other waste total,Recycling,Recycling,3037332,2018-12-31,09 Total
Tas,Biosolids,,Biosolids total,Other disposal,Disposal,0,2018-12-31,03 C&I core
Tas,Biosolids,,Biosolids total,Recycling,Recycling,33061,2018-12-31,03 C&I core
Tas,Biosolids,,Biosolids total,Other disposal,Disposal,0,2018-12-31,09 Total
