y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
34,0,C&I core,4,18,2,0,14
0,0,C&I core,4,18,3,0,14
2422,0,C&I core,4,18,4,3,14
669,0,C&I core,4,18,5,0,14
0,0,C&I core,4,18,5,1,14
669,0,C&I core,4,18,5,3,14
0,0,Total,4,18,1,1,14
34,0,Total,4,18,2,0,14
0,0,Total,4,18,3,0,14
2422,0,Total,4,18,4,3,14
669,0,Total,4,18,5,0,14
0,0,Total,4,18,5,1,14
669,0,Total,4,18,5,3,14
0,0,C&D,4,23,1,1,14
0,0,C&D,4,23,2,0,14
0,0,C&D,4,23,3,0,14
0,0,C&D,4,23,4,3,14
0,0,C&D,4,23,5,0,14
0,0,C&D,4,23,5,1,14
0,0,C&D,4,23,5,3,14
0,0,C&I core,4,23,1,1,14
2,0,C&I core,4,23,2,0,14
6,0,C&I core,4,23,3,0,14
90,0,C&I core,4,23,4,3,14
2,0,C&I core,4,23,5,0,14
0,0,C&I core,4,23,5,1,14
18,0,C&I core,4,23,5,3,14
0,0,Total,4,23,1,1,14
2,0,Total,4,23,2,0,14
6,0,Total,4,23,3,0,14
90,0,Total,4,23,4,3,14
2,0,Total,4,23,5,0,14
0,0,Total,4,23,5,1,14
18,0,Total,4,23,5,3,14
0,0,C&D,4,31,1,1,14
0,0,C&D,4,31,2,0,14
0,0,C&D,4,31,3,0,14
0,0,C&D,4,31,4,3,14
0,0,C&D,4,31,5,0,14
0,0,C&D,4,31,5,1,14
0,0,C&D,4,31,5,3,14
0,0,C&I core,4,31,1,1,14
7,0,C&I core,4,31,2,0,14
1,0,C&I core,4,31,3,0,14
813,0,C&I core,4,31,4,3,14
0,0,C&I core,4,31,5,0,14
145,0,C&I core,4,31,5,1,14
557,0,C&I core,4,31,5,3,14
0,0,Total,4,31,1,1,14
7,0,Total,4,31,2,0,14
1,0,Total,4,31,3,0,14
813,0,Total,4,31,4,3,14
0,0,Total,4,31,5,0,14
145,0,Total,4,31,5,1,14
557,0,Total,4,31,5,3,14
0,0,C&D,4,32,1,1,14
0,0,C&D,4,32,2,0,14
0,0,C&D,4,32,3,0,14
0,0,C&D,4,32,4,3,14
0,0,C&D,4,32,5,0,14
0,0,C&D,4,32,5,1,14
0,0,C&D,4,32,5,3,14
0,0,C&I core,4,32,1,1,14
2,0,C&I core,4,32,2,0,14
0,0,C&I core,4,32,3,0,14
0,0,C&I core,4,32,4,3,14
