Jurisdiction,Category,Type,Management,Fate,y,ds,Sub_stream_name,Sub_stream_index
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,1,2021-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,93,2021-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,98,2021-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Landfill,Disposal,1,2021-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Other disposal,Disposal,93,2021-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Disposal,98,2021-12-31,Total,9
ACT,Hazardous wastes,Clinical and pharmaceutical (R),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,22,2021-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,1,2021-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Contaminated soils (N120),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,9,2021-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,1,2021-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Contaminated soils (N120),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Landfill,Disposal,31,2021-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Disposal,2,2021-12-31,Total,9
ACT,Hazardous wastes,Contaminated soils (N120),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,34,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,710,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Landfill,Disposal,34,2021-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Disposal,710,2021-12-31,Total,9
ACT,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Inorganic chemicals (D),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,2,2021-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,6,2021-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,2,2021-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Inorganic chemicals (D),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Landfill,Disposal,2,2021-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Other disposal,Disposal,6,2021-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Disposal,2,2021-12-31,Total,9
ACT,Hazardous wastes,Inorganic chemicals (D),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Oils (J),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,7,2021-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,1,2021-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,145,2021-12-31,C&I core,3
ACT,Hazardous wastes,Oils (J),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Landfill,Disposal,7,2021-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Other disposal,Disposal,1,2021-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Treatment,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Oils (J),Treatment,Energy recovery,145,2021-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic chemicals (M),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,2,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,1,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic chemicals (M),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Landfill,Disposal,2,2021-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Disposal,1,2021-12-31,Total,9
ACT,Hazardous wastes,Organic chemicals (M),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Organic solvents (G),Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,4,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Organic solvents (G),Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Disposal,4,2021-12-31,Total,9
ACT,Hazardous wastes,Organic solvents (G),Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other,Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,Other,Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,Other,Energy from waste facility,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other,Landfill,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other,Other disposal,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other,Treatment,Disposal,0,2021-12-31,Total,9
ACT,Hazardous wastes,Other,Treatment,Energy recovery,0,2021-12-31,Total,9
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Energy from waste facility,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Other disposal,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Disposal,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Treatment,Energy recovery,0,2021-12-31,C&D,2
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Energy from waste facility,Energy recovery,0,2021-12-31,C&I core,3
ACT,Hazardous wastes,"Other hazardous organic wastes (K140, K190)",Landfill,Disposal,0,2021-12-31,C&I core,3
