Jurisdiction,Category,Type,Management,Fate,y,ds,Sub-stream
Australia,Mining,Other non-metallic mineral mining and quarrying,Recycling,Recycling,0,2021-12-31,8
Australia,Mining,Other non-metallic mineral mining and quarrying,Unknown,Unknown,2505,2021-12-31,8
Australia,Mining,Other non-metallic mineral mining and quarrying,Landfill,Disposal,2,2021-12-31,9
Australia,Mining,Other non-metallic mineral mining and quarrying,Other disposal,Disposal,4726658,2021-12-31,9
Australia,Mining,Other non-metallic mineral mining and quarrying,Recycling,Recycling,0,2021-12-31,9
Australia,Mining,Other non-metallic mineral mining and quarrying,Unknown,Unknown,2505,2021-12-31,9
Australia,Mining,Silver-lead-zinc ore mining,Landfill,Disposal,10,2021-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Other disposal,Disposal,78022430,2021-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Recycling,Recycling,640,2021-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Unknown,Unknown,4,2021-12-31,8
Australia,Mining,Silver-lead-zinc ore mining,Landfill,Disposal,10,2021-12-31,9
Australia,Mining,Silver-lead-zinc ore mining,Other disposal,Disposal,78022430,2021-12-31,9
Australia,Mining,Silver-lead-zinc ore mining,Recycling,Recycling,640,2021-12-31,9
Australia,Mining,Silver-lead-zinc ore mining,Unknown,Unknown,4,2021-12-31,9
Australia,Mining,Bauxite mining,Landfill,Disposal,0,2019-12-31,8
Australia,Mining,Bauxite mining,Other disposal,Disposal,0,2019-12-31,8
Australia,Mining,Bauxite mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Bauxite mining,Unknown,Unknown,0,2019-12-31,8
Australia,Mining,Coal mining,Landfill,Disposal,2878,2019-12-31,8
Australia,Mining,Coal mining,Other disposal,Disposal,32250076,2019-12-31,8
Australia,Mining,Coal mining,Recycling,Recycling,61,2019-12-31,8
Australia,Mining,Coal mining,Unknown,Unknown,392,2019-12-31,8
Australia,Mining,Copper ore mining,Landfill,Disposal,18,2019-12-31,8
Australia,Mining,Copper ore mining,Other disposal,Disposal,49116927,2019-12-31,8
Australia,Mining,Copper ore mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Copper ore mining,Unknown,Unknown,0,2019-12-31,8
Australia,Mining,Gold ore mining,Landfill,Disposal,125,2019-12-31,8
Australia,Mining,Gold ore mining,Other disposal,Disposal,188738348,2019-12-31,8
Australia,Mining,Gold ore mining,Recycling,Recycling,1,2019-12-31,8
Australia,Mining,Gold ore mining,Unknown,Unknown,0,2019-12-31,8
Australia,Mining,Iron ore mining,Landfill,Disposal,344,2019-12-31,8
Australia,Mining,Iron ore mining,Other disposal,Disposal,89542381,2019-12-31,8
Australia,Mining,Iron ore mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Iron ore mining,Unknown,Unknown,1,2019-12-31,8
Australia,Mining,Mineral sand mining,Landfill,Disposal,518,2019-12-31,8
Australia,Mining,Mineral sand mining,Other disposal,Disposal,49499,2019-12-31,8
Australia,Mining,Mineral sand mining,Recycling,Recycling,0,2019-12-31,8
Australia,Mining,Mineral sand mining,Unknown,Unknown,10942,2019-12-31,8
Australia,Mining,Nickel ore mining,Landfill,Disposal,8,2019-12-31,8
Australia,Mining,Nickel ore mining,Other disposal,Disposal,9638672,2019-12-31,8
