Jurisdiction,Category,Type,Management,Fate,y,ds,Sub-stream
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Alkalis (C),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Alkalis (C),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Alkalis (C),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Landfill,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Recycling,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Treatment,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Alkalis (C),Energy from waste facility,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Alkalis (C),Landfill,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Alkalis (C),Other disposal,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Alkalis (C),Recycling,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Alkalis (C),Treatment,Disposal,0,2021-12-31,9
ACT,Hazardous wastes,Alkalis (C),Treatment,Energy recovery,0,2021-12-31,9
ACT,Hazardous wastes,Alkalis (C),Treatment,Recycling,0,2021-12-31,9
ACT,Hazardous wastes,Asbestos (N220),Energy from waste facility,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Landfill,Disposal,10556,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Other disposal,Disposal,0,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Recycling,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Treatment,Disposal,6,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Treatment,Energy recovery,0,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Treatment,Recycling,0,2021-12-31,2
ACT,Hazardous wastes,Asbestos (N220),Energy from waste facility,Energy recovery,0,2021-12-31,3
ACT,Hazardous wastes,Asbestos (N220),Landfill,Disposal,8992,2021-12-31,3
ACT,Hazardous wastes,Asbestos (N220),Other disposal,Disposal,0,2021-12-31,3
ACT,Hazardous wastes,Asbestos (N220),Recycling,Recycling,0,2021-12-31,3
ACT,Hazardous wastes,Asbestos (N220),Treatment,Disposal,5,2021-12-31,3
