y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
2,0,C&I core,0,8,3,2,2
20,0,C&I core,0,8,4,0,2
1,0,C&I core,0,8,4,1,2
1,0,C&I core,0,8,4,2,2
3,0,Total,0,8,1,0,2
0,0,Total,0,8,2,0,2
2,0,Total,0,8,3,2,2
20,0,Total,0,8,4,0,2
1,0,Total,0,8,4,1,2
1,0,Total,0,8,4,2,2
0,0,C&D,0,9,1,0,2
0,0,C&D,0,9,2,0,2
0,0,C&D,0,9,3,2,2
0,0,C&D,0,9,4,0,2
0,0,C&D,0,9,4,1,2
0,0,C&D,0,9,4,2,2
0,0,C&I core,0,9,1,0,2
0,0,C&I core,0,9,2,0,2
17,0,C&I core,0,9,3,2,2
3,0,C&I core,0,9,4,0,2
0,0,C&I core,0,9,4,1,2
0,0,C&I core,0,9,4,2,2
0,0,Total,0,9,1,0,2
0,0,Total,0,9,2,0,2
17,0,Total,0,9,3,2,2
3,0,Total,0,9,4,0,2
0,0,Total,0,9,4,1,2
0,0,Total,0,9,4,2,2
0,0,C&D,0,10,1,0,2
0,0,C&D,0,10,2,0,2
0,0,C&D,0,10,3,2,2
0,0,C&D,0,10,4,0,2
0,0,C&D,0,10,4,1,2
0,0,C&D,0,10,4,2,2
0,0,C&I core,0,10,1,0,2
0,0,C&I core,0,10,2,0,2
0,0,C&I core,0,10,3,2,2
0,0,C&I core,0,10,4,0,2
0,0,C&I core,0,10,4,1,2
0,0,C&I core,0,10,4,2,2
0,0,Total,0,10,1,0,2
0,0,Total,0,10,2,0,2
0,0,Total,0,10,3,2,2
0,0,Total,0,10,4,0,2
0,0,Total,0,10,4,1,2
0,0,Total,0,10,4,2,2
0,0,C&D,0,11,1,0,2
0,0,C&D,0,11,2,0,2
0,0,C&D,0,11,3,2,2
0,0,C&D,0,11,4,0,2
0,0,C&D,0,11,4,1,2
0,0,C&D,0,11,4,2,2
0,0,C&I core,0,11,1,0,2
0,0,C&I core,0,11,2,0,2
0,0,C&I core,0,11,3,2,2
0,0,C&I core,0,11,4,0,2
0,0,C&I core,0,11,4,1,2
0,0,C&I core,0,11,4,2,2
0,0,Total,0,11,1,0,2
0,0,Total,0,11,2,0,2
0,0,Total,0,11,3,2,2
0,0,Total,0,11,4,0,2
0,0,Total,0,11,4,1,2
0,0,Total,0,11,4,2,2
0,0,C&D,0,12,1,0,2
0,0,C&D,0,12,2,0,2
0,0,C&D,0,12,3,2,2
0,0,C&D,0,12,4,0,2
0,0,C&D,0,12,4,1,2
0,0,C&D,0,12,4,2,2
6,0,C&I core,0,12,1,0,2
1,0,C&I core,0,12,2,0,2
19,0,C&I core,0,12,3,2,2
28,0,C&I core,0,12,4,0,2
0,0,C&I core,0,12,4,1,2
0,0,C&I core,0,12,4,2,2
6,0,Total,0,12,1,0,2
1,0,Total,0,12,2,0,2
19,0,Total,0,12,3,2,2
28,0,Total,0,12,4,0,2
0,0,Total,0,12,4,1,2
0,0,Total,0,12,4,2,2
0,0,C&D,0,13,1,0,2
0,0,C&D,0,13,2,0,2
0,0,C&D,0,13,3,2,2
0,0,C&D,0,13,4,0,2
0,0,C&D,0,13,4,1,2
0,0,C&D,0,13,4,2,2
6,0,C&I core,0,13,1,0,2
0,0,C&I core,0,13,2,0,2
2,0,C&I core,0,13,3,2,2
3,0,C&I core,0,13,4,0,2
0,0,C&I core,0,13,4,1,2
1,0,C&I core,0,13,4,2,2
6,0,Total,0,13,1,0,2
0,0,Total,0,13,2,0,2
2,0,Total,0,13,3,2,2
3,0,Total,0,13,4,0,2
0,0,Total,0,13,4,1,2
1,0,Total,0,13,4,2,2
0,0,C&D,0,14,1,0,2
0,0,C&D,0,14,2,0,2
0,0,C&D,0,14,3,2,2
0,0,C&D,0,14,4,0,2
0,0,C&D,0,14,4,1,2
0,0,C&D,0,14,4,2,2
2,0,C&I core,0,14,1,0,2
1,0,C&I core,0,14,2,0,2
22,0,C&I core,0,14,3,2,2
20,0,C&I core,0,14,4,0,2
7,0,C&I core,0,14,4,1,2
7,0,C&I core,0,14,4,2,2
2,0,Total,0,14,1,0,2
1,0,Total,0,14,2,0,2
22,0,Total,0,14,3,2,2
20,0,Total,0,14,4,0,2
7,0,Total,0,14,4,1,2
7,0,Total,0,14,4,2,2
0,0,C&D,0,15,1,0,2
0,0,C&D,0,15,2,0,2
0,0,C&D,0,15,3,2,2
0,0,C&D,0,15,4,0,2
0,0,C&D,0,15,4,1,2
0,0,C&D,0,15,4,2,2
0,0,C&I core,0,15,1,0,2
0,0,C&I core,0,15,2,0,2
0,0,C&I core,0,15,3,2,2
0,0,C&I core,0,15,4,0,2
0,0,C&I core,0,15,4,1,2
0,0,C&I core,0,15,4,2,2
0,0,Total,0,15,1,0,2
0,0,Total,0,15,2,0,2
0,0,Total,0,15,3,2,2
0,0,Total,0,15,4,0,2
0,0,Total,0,15,4,1,2
0,0,Total,0,15,4,2,2
0,0,C&D,0,16,1,0,2
0,0,C&D,0,16,2,0,2
0,0,C&D,0,16,3,2,2
0,0,C&D,0,16,4,0,2
0,0,C&D,0,16,4,1,2
0,0,C&D,0,16,4,2,2
0,0,C&I core,0,16,1,0,2
0,0,C&I core,0,16,2,0,2
0,0,C&I core,0,16,3,2,2
0,0,C&I core,0,16,4,0,2
